Date,Store,Footfall,Orders,Total Sales,Day Type
2025-01-01,Jammu,53,19,34400,Weekday
2025-01-01,Punjab,34,27,45900,Weekday
2025-01-01,Delhi,40,9,17100,Weekday
2025-01-02,Jammu,20,5,8300,Weekday
2025-01-02,Punjab,43,18,44100,Weekday
2025-01-02,Delhi,35,18,39600,Weekday
2025-01-03,Jammu,49,15,26900,Weekday
2025-01-03,Punjab,71,5,9100,Weekday
2025-01-03,Delhi,47,26,40500,Weekday
2025-01-04,Jammu,37,6,11100,Weekend
2025-01-04,Punjab,42,29,53500,Weekend
2025-01-04,Delhi,74,25,44200,Weekend
2025-01-05,Jammu,70,29,51600,Weekend
2025-01-05,Punjab,43,20,36500,Weekend
2025-01-05,Delhi,75,15,29200,Weekend
2025-01-06,Jammu,37,28,49600,Weekday
2025-01-06,Punjab,74,18,30100,Weekday
2025-01-06,Delhi,27,23,45100,Weekday
2025-01-07,Jammu,37,30,62600,Weekday
2025-01-07,Punjab,59,24,45800,Weekday
2025-01-07,Delhi,26,23,39900,Weekday
2025-01-08,Jammu,65,26,50400,Weekday
2025-01-08,Punjab,41,6,10000,Weekday
2025-01-08,Delhi,65,22,39300,Weekday
2025-01-09,Jammu,39,24,40800,Weekday
2025-01-09,Punjab,39,14,27100,Weekday
2025-01-09,Delhi,42,25,38300,Weekday
2025-01-10,Jammu,48,19,33600,Weekday
2025-01-10,Punjab,70,24,50000,Weekday
2025-01-10,Delhi,63,8,17400,Weekday
2025-01-11,Jammu,79,19,35800,Weekend
2025-01-11,Punjab,49,16,25400,Weekend
2025-01-11,Delhi,67,10,17400,Weekend
2025-01-12,Jammu,61,30,59000,Weekend
2025-01-12,Punjab,31,17,37600,Weekend
2025-01-12,Delhi,58,8,13600,Weekend
2025-01-13,Jammu,26,8,15500,Weekday
2025-01-13,Punjab,43,21,33000,Weekday
2025-01-13,Delhi,80,10,17400,Weekday
2025-01-14,Jammu,75,17,24900,Weekday
2025-01-14,Punjab,53,22,36200,Weekday
2025-01-14,Delhi,73,13,22700,Weekday
2025-01-15,Jammu,26,20,34300,Weekday
2025-01-15,Punjab,56,18,34400,Weekday
2025-01-15,Delhi,55,19,33400,Weekday
2025-01-16,Jammu,31,14,24400,Weekday
2025-01-16,Punjab,42,14,28100,Weekday
2025-01-16,Delhi,55,6,9400,Weekday
2025-01-17,Jammu,57,25,44500,Weekday
2025-01-17,Punjab,20,6,9300,Weekday
2025-01-17,Delhi,68,6,10300,Weekday
2025-01-18,Jammu,23,12,19700,Weekend
2025-01-18,Punjab,56,8,19400,Weekend
2025-01-18,Delhi,78,8,12800,Weekend
2025-01-19,Jammu,64,8,14000,Weekend
2025-01-19,Punjab,25,5,9800,Weekend
2025-01-19,Delhi,65,27,48800,Weekend
2025-01-20,Jammu,65,30,49300,Weekday
2025-01-20,Punjab,30,28,54700,Weekday
2025-01-20,Delhi,80,29,54700,Weekday
2025-01-21,Jammu,46,16,31600,Weekday
2025-01-21,Punjab,43,11,22800,Weekday
2025-01-21,Delhi,79,6,11800,Weekday
2025-01-22,Jammu,44,9,16100,Weekday
2025-01-22,Punjab,59,8,12200,Weekday
2025-01-22,Delhi,79,13,23800,Weekday
2025-01-23,Jammu,58,6,8100,Weekday
2025-01-23,Punjab,71,14,23100,Weekday
2025-01-23,Delhi,23,16,31000,Weekday
2025-01-24,Jammu,79,25,43000,Weekday
2025-01-24,Punjab,53,22,45200,Weekday
2025-01-24,Delhi,74,20,36300,Weekday
2025-01-25,Jammu,80,27,52500,Weekend
2025-01-25,Punjab,30,22,34400,Weekend
2025-01-25,Delhi,28,24,51300,Weekend
2025-01-26,Jammu,78,13,27200,Weekend
2025-01-26,Punjab,62,14,28400,Weekend
2025-01-26,Delhi,56,13,18000,Weekend
2025-01-27,Jammu,66,16,41300,Weekday
2025-01-27,Punjab,42,11,22800,Weekday
2025-01-27,Delhi,54,26,44500,Weekday
2025-01-28,Jammu,60,11,25900,Weekday
2025-01-28,Punjab,71,21,37500,Weekday
2025-01-28,Delhi,30,25,47400,Weekday
2025-01-29,Jammu,44,29,47200,Weekday
2025-01-29,Punjab,33,8,11400,Weekday
2025-01-29,Delhi,75,19,34700,Weekday
2025-01-30,Jammu,70,28,53700,Weekday
2025-01-30,Punjab,37,16,34300,Weekday
2025-01-30,Delhi,34,10,17600,Weekday
2025-01-31,Jammu,72,5,10300,Weekday
2025-01-31,Punjab,71,15,28800,Weekday
2025-01-31,Delhi,58,19,36300,Weekday
2025-02-01,Jammu,20,11,23400,Weekend
2025-02-01,Punjab,32,14,26600,Weekend
2025-02-01,Delhi,48,20,36100,Weekend
2025-02-02,Jammu,74,28,50400,Weekend
2025-02-02,Punjab,38,14,25300,Weekend
2025-02-02,Delhi,69,13,22200,Weekend
2025-02-03,Jammu,71,11,18900,Weekday
2025-02-03,Punjab,72,29,58900,Weekday
2025-02-03,Delhi,43,24,47500,Weekday
2025-02-04,Jammu,72,30,62900,Weekday
2025-02-04,Punjab,33,29,48100,Weekday
2025-02-04,Delhi,29,14,25600,Weekday
2025-02-05,Jammu,27,10,24800,Weekday
2025-02-05,Punjab,22,19,37500,Weekday
2025-02-05,Delhi,55,19,38700,Weekday
2025-02-06,Jammu,35,12,21800,Weekday
2025-02-06,Punjab,69,16,27700,Weekday
2025-02-06,Delhi,47,16,26900,Weekday
2025-02-07,Jammu,72,5,5400,Weekday
2025-02-07,Punjab,58,24,39200,Weekday
2025-02-07,Delhi,41,18,34700,Weekday
2025-02-08,Jammu,34,16,23800,Weekend
2025-02-08,Punjab,52,5,8300,Weekend
2025-02-08,Delhi,22,15,30300,Weekend
2025-02-09,Jammu,44,29,55800,Weekend
2025-02-09,Punjab,35,17,33200,Weekend
2025-02-09,Delhi,37,19,40100,Weekend
2025-02-10,Jammu,27,21,38000,Weekday
2025-02-10,Punjab,29,19,29200,Weekday
2025-02-10,Delhi,29,27,48100,Weekday
2025-02-11,Jammu,73,13,25900,Weekday
2025-02-11,Punjab,27,24,39700,Weekday
2025-02-11,Delhi,77,18,39200,Weekday
2025-02-12,Jammu,56,12,24500,Weekday
2025-02-12,Punjab,66,7,10900,Weekday
2025-02-12,Delhi,57,22,48400,Weekday
2025-02-13,Jammu,35,18,35000,Weekday
2025-02-13,Punjab,76,14,24100,Weekday
2025-02-13,Delhi,61,21,35000,Weekday
2025-02-14,Jammu,74,14,25100,Weekday
2025-02-14,Punjab,22,14,26300,Weekday
2025-02-14,Delhi,48,15,26700,Weekday
2025-02-15,Jammu,74,13,24700,Weekend
2025-02-15,Punjab,71,22,32100,Weekend
2025-02-15,Delhi,73,26,42900,Weekend
2025-02-16,Jammu,51,28,44400,Weekend
2025-02-16,Punjab,27,24,48900,Weekend
2025-02-16,Delhi,65,10,17300,Weekend
2025-02-17,Jammu,36,7,15000,Weekday
2025-02-17,Punjab,70,26,50400,Weekday
2025-02-17,Delhi,28,9,20100,Weekday
2025-02-18,Jammu,72,25,50800,Weekday
2025-02-18,Punjab,77,19,32300,Weekday
2025-02-18,Delhi,51,19,27400,Weekday
2025-02-19,Jammu,79,19,29600,Weekday
2025-02-19,Punjab,71,24,51500,Weekday
2025-02-19,Delhi,78,14,29000,Weekday
2025-02-20,Jammu,23,9,13000,Weekday
2025-02-20,Punjab,68,20,39400,Weekday
2025-02-20,Delhi,61,5,5700,Weekday
2025-02-21,Jammu,58,23,43800,Weekday
2025-02-21,Punjab,65,25,41300,Weekday
2025-02-21,Delhi,34,14,19600,Weekday
2025-02-22,Jammu,42,6,10400,Weekend
2025-02-22,Punjab,59,7,11600,Weekend
2025-02-22,Delhi,80,6,9500,Weekend
2025-02-23,Jammu,47,11,17600,Weekend
2025-02-23,Punjab,74,11,18800,Weekend
2025-02-23,Delhi,57,24,45100,Weekend
2025-02-24,Jammu,73,17,28600,Weekday
2025-02-24,Punjab,40,18,35500,Weekday
2025-02-24,Delhi,61,13,22200,Weekday
2025-02-25,Jammu,43,18,27100,Weekday
2025-02-25,Punjab,77,26,43700,Weekday
2025-02-25,Delhi,36,8,15900,Weekday
2025-02-26,Jammu,70,22,46300,Weekday
2025-02-26,Punjab,73,27,47500,Weekday
2025-02-26,Delhi,66,5,11000,Weekday
2025-02-27,Jammu,57,19,27600,Weekday
2025-02-27,Punjab,25,18,26700,Weekday
2025-02-27,Delhi,54,16,25400,Weekday
2025-02-28,Jammu,40,20,34800,Weekday
2025-02-28,Punjab,60,22,38700,Weekday
2025-02-28,Delhi,46,7,11600,Weekday
2025-03-01,Jammu,34,27,50600,Weekend
2025-03-01,Punjab,40,14,22300,Weekend
2025-03-01,Delhi,25,7,13200,Weekend
2025-03-02,Jammu,75,8,18500,Weekend
2025-03-02,Punjab,74,8,13800,Weekend
2025-03-02,Delhi,71,24,43700,Weekend
2025-03-03,Jammu,57,12,19200,Weekday
2025-03-03,Punjab,34,25,46700,Weekday
2025-03-03,Delhi,67,29,58100,Weekday
2025-03-04,Jammu,51,15,27400,Weekday
2025-03-04,Punjab,70,30,56600,Weekday
2025-03-04,Delhi,58,26,42600,Weekday
2025-03-05,Jammu,32,16,24700,Weekday
2025-03-05,Punjab,79,14,28000,Weekday
2025-03-05,Delhi,29,15,34000,Weekday
2025-03-06,Jammu,80,20,32200,Weekday
2025-03-06,Punjab,30,15,23300,Weekday
2025-03-06,Delhi,54,21,41600,Weekday
2025-03-07,Jammu,26,24,47600,Weekday
2025-03-07,Punjab,21,17,25900,Weekday
2025-03-07,Delhi,42,25,42200,Weekday
2025-03-08,Jammu,58,18,33100,Weekend
2025-03-08,Punjab,22,9,15100,Weekend
2025-03-08,Delhi,24,23,36300,Weekend
2025-03-09,Jammu,32,13,23500,Weekend
2025-03-09,Punjab,20,14,25000,Weekend
